LR,DO,EL,DM,PL,mse,mae
0.0001,0.2,2,256,24,0.1073606014251709,0.19618366658687592
0.0001,0.2,2,256,48,0.12285853922367096,0.21647882461547852
0.0001,0.2,2,512,16,0.11679396778345108,0.21177786588668823
0.0001,0.2,2,512,24,0.10887391120195389,0.198089137673378
0.0001,0.2,2,512,48,0.11894439905881882,0.2141129970550537
0.0001,0.2,3,256,16,0.11934473365545273,0.2106429487466812
0.0001,0.2,3,256,24,0.1078135147690773,0.1963559091091156
0.0001,0.2,3,256,48,0.12025460600852966,0.21314102411270142
0.0001,0.2,3,512,16,0.12027682363986969,0.21584366261959076
0.0001,0.2,3,512,24,0.1079949215054512,0.19775967299938202
0.0001,0.2,3,512,48,0.1211564838886261,0.2156672477722168
0.0001,0.2,4,256,16,0.11763672530651093,0.2096700668334961
0.0001,0.2,4,256,24,0.10645223408937454,0.19559837877750397
0.0001,0.2,4,256,48,0.12221644818782806,0.21517717838287354
0.0001,0.2,4,512,16,0.11892738938331604,0.21354109048843384
0.0001,0.2,4,512,24,0.10591603815555573,0.1953425258398056
0.0001,0.2,4,512,48,0.12048591673374176,0.21578265726566315
